evaluation,official_delay_weeks,model,horizon,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95,n_total,n_countries,variant,delta_WIS_vs_full,model_B,delta_WIS_vs_full_from_boot,ci_low_delta_WIS_vs_full,ci_high_delta_WIS_vs_full,ci_excludes_zero
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__base_only,1,0.1576609375280318,0.2575032220027425,0.464047090956483,0.9325886747419884,0.9183076469287582,0.5736639383726528,0.8284384528968062,0.9394960680468624,0.3423348085820724,0.6664033012572377,1.209635221461568,196.0,3,base_only,0.005597566705482,bioepi_safe_lstm_common_scale__base_only,0.005597566705482,0.0002283331119536,0.0139497638751326,True
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__base_only,2,0.2449275834253901,0.4083271370752553,0.6758241834959736,0.8579436284009475,0.8312404731014209,0.5388380677258867,0.7522067083935163,0.924971914620446,0.55526066921033,0.877208010618039,1.8398512855206048,196.0,3,base_only,0.0104146749189238,bioepi_safe_lstm_common_scale__base_only,0.0104146749189238,0.0020566905299457,0.022304565557519,True
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__base_only,3,0.3295329960320698,0.5461179643557985,0.8768473976000678,0.7501999171370416,0.8266555956481328,0.5263200128390306,0.6875300914780934,0.8877387257262077,0.6517296006079761,1.089469814128528,2.716045348064821,196.0,3,base_only,0.0155733467492787,bioepi_safe_lstm_common_scale__base_only,0.0155733467492788,-0.0014521980725784,0.0370170437886158,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__base_only,4,0.385518679557791,0.625211569747516,1.0036242164159357,0.6486652776907026,0.7712584243470938,0.5392392874337987,0.6676295939656556,0.9325148451291928,0.7505009317042272,1.1781541182079958,3.632181466802223,196.0,3,base_only,0.0181189145309782,bioepi_safe_lstm_common_scale__base_only,0.0181189145309782,-0.0059852326662501,0.0510339647056089,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_china_local_search,1,0.1520633708225497,0.2461160050288518,0.455585448329511,0.934216492468356,0.920622276987023,0.5935644358850907,0.8334135772749157,0.9593965655593004,0.3217662170041757,0.6372327135418742,1.5035487628227129,196.0,3,no_china_local_search,0.0,bioepi_safe_lstm_common_scale__no_china_local_search,-0.0,-0.0,-0.0,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_china_local_search,2,0.2345129085064663,0.3846475243720814,0.6550266053070838,0.8647056976246202,0.8767190686622809,0.5587385652383244,0.7472315840154069,0.9398972877547744,0.5080203401107496,0.847826235997328,2.1025920295048457,196.0,3,no_china_local_search,0.0,bioepi_safe_lstm_common_scale__no_china_local_search,-0.0,-0.0,-0.0,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_china_local_search,3,0.313959649282791,0.5100212426262312,0.8419150869024542,0.76006307008872,0.8679057567101252,0.5151661049590756,0.7074305889905311,0.9122131279088428,0.6306936161009734,1.0736626119757549,2.9311807178184077,196.0,3,no_china_local_search,0.0,bioepi_safe_lstm_common_scale__no_china_local_search,-0.0,-0.0,-0.0,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_china_local_search,4,0.3656706462506767,0.5881127016104293,0.9646787830503064,0.6633914890546555,0.8411523976130386,0.5330605039319531,0.6921039961482909,0.9374899695073022,0.6987982199293578,1.2106356012137054,3.661529868078855,196.0,3,no_china_local_search,-0.001729118776136,bioepi_safe_lstm_common_scale__no_china_local_search,-0.001729118776136,-0.0051873563284081,-0.0,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_full_lstm_expert,1,0.1518252838943942,0.2442051681855153,0.4554517734472755,0.934316158175292,0.9238015676992374,0.5985395602632001,0.8334135772749157,0.9593965655593004,0.3197088657190025,0.6411364867421321,1.5680910019571357,196.0,3,no_full_lstm_expert,-0.0002380869281555,bioepi_safe_lstm_common_scale__no_full_lstm_expert,-0.0002380869281555,-0.0011367418774104,0.0002134933700407,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_full_lstm_expert,2,0.2341648269580451,0.3853723477550053,0.6513054009759783,0.864699318822176,0.8616340658687619,0.5388380677258867,0.7571818327716257,0.944872412132884,0.50997840341542,0.8541362599657321,2.155059878744508,196.0,3,no_full_lstm_expert,-0.0003480815484211,bioepi_safe_lstm_common_scale__no_full_lstm_expert,-0.0003480815484211,-0.0052806376463191,0.0037304926573332,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_full_lstm_expert,3,0.3062184004179094,0.499451908562907,0.8274820066108352,0.7698357619023563,0.8773202885771573,0.541245385973359,0.7223559621248595,0.9175894719948644,0.6472114243972132,1.0772193392821932,3.0058431222542747,196.0,3,no_full_lstm_expert,-0.0077412488648815,bioepi_safe_lstm_common_scale__no_full_lstm_expert,-0.0077412488648815,-0.01813161372567,-0.0005744520425737,True
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_full_lstm_expert,4,0.3567751384635838,0.5833793227122203,0.9464776403991036,0.6795179448072015,0.8292257975399496,0.5388380677258867,0.7024554646124218,0.9374899695073022,0.7302653247582541,1.2233591146428218,3.640807801330237,196.0,3,no_full_lstm_expert,-0.0106246265632289,bioepi_safe_lstm_common_scale__no_full_lstm_expert,-0.0106246265632289,-0.024863147943815,-0.0019107928041621,True
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_google_wiki,1,0.1563020881104778,0.2519378755140312,0.4617788831132781,0.9324722695416816,0.9205424621574276,0.6035146846413096,0.8284384528968062,0.9494463168030814,0.3269645431105109,0.6440159314283308,1.437114870558947,196.0,3,no_google_wiki,0.0042387172879281,bioepi_safe_lstm_common_scale__no_google_wiki,0.004238717287928,-2.4165302152910746e-19,0.0126936424821294,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_google_wiki,2,0.235997214316213,0.3872461041278152,0.6564498017301896,0.864847900763781,0.8774507046002382,0.5537634408602151,0.7422564596372974,0.9398972877547744,0.5040498819788986,0.8453441600279472,2.098386767160208,196.0,3,no_google_wiki,0.0014843058097467,bioepi_safe_lstm_common_scale__no_google_wiki,0.0014843058097467,-0.0009065908073113,0.00556750714356,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_google_wiki,3,0.3151729474837146,0.5125544248308547,0.843994439011186,0.7596582075947312,0.8654714044074673,0.5151661049590756,0.7024554646124218,0.9122131279088428,0.6214848752850014,1.0689951076819442,2.88425199343773,196.0,3,no_google_wiki,0.0012132982009236,bioepi_safe_lstm_common_scale__no_google_wiki,0.0012132982009237,-0.0022727715725871,0.0053805500233554,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_google_wiki,4,0.3683913343884861,0.5963954148723621,0.9699577517681014,0.6620979427023046,0.8340250904280283,0.4779329160648371,0.6771786230139624,0.9374899695073022,0.691082598309281,1.2168832825343527,3.6515239570829534,196.0,3,no_google_wiki,0.0009915693616733,bioepi_safe_lstm_common_scale__no_google_wiki,0.0009915693616734,-0.0025776541171331,0.0047960699474793,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_gradient_boosting,1,0.1535322429833209,0.2524557481320452,0.4580024169168954,0.9342990178901396,0.9191590051111084,0.5836141871288717,0.8334135772749157,0.9494463168030814,0.3371940732521383,0.6484519815152164,1.2681020350367935,196.0,3,no_gradient_boosting,0.0014688721607712,bioepi_safe_lstm_common_scale__no_gradient_boosting,0.0014688721607712,-0.000544473633387,0.0052138238654138,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_gradient_boosting,2,0.2376495989177208,0.3951598355826975,0.6676146945178933,0.8609436092351483,0.8590267814353142,0.5686888139945434,0.7472315840154069,0.9398972877547744,0.534643040076111,0.8686071100060082,2.0103596993744475,196.0,3,no_gradient_boosting,0.0031366904112545,bioepi_safe_lstm_common_scale__no_gradient_boosting,0.0031366904112545,-0.0043838415187093,0.012677351485289,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_gradient_boosting,3,0.3236150393213079,0.5299038598276539,0.8649582387215013,0.7518639642232608,0.8512776672110962,0.5350666024715134,0.6825549670999841,0.902262879152624,0.6491741335497334,1.0826777110769086,2.84468752561151,196.0,3,no_gradient_boosting,0.0096553900385168,bioepi_safe_lstm_common_scale__no_gradient_boosting,0.0096553900385168,-0.0001126919225978,0.0240307114528337,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_gradient_boosting,4,0.3810416693758043,0.6158990327393378,0.9920623026807894,0.6504562475300008,0.7991323632834199,0.5227090354678222,0.6771786230139624,0.9374899695073022,0.745277029077203,1.2073609027850816,3.714580828069863,196.0,3,no_gradient_boosting,0.0136419043489915,bioepi_safe_lstm_common_scale__no_gradient_boosting,0.0136419043489916,0.0018681634968091,0.0340213502032761,True
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_social,1,0.1520633708225497,0.2461160050288518,0.455585448329511,0.934216492468356,0.920622276987023,0.5935644358850907,0.8334135772749157,0.9593965655593004,0.3217662170041757,0.6372327135418742,1.5035487628227129,196.0,3,no_social,0.0,bioepi_safe_lstm_common_scale__no_social,-0.0,-0.0,-0.0,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_social,2,0.2346935282329992,0.3867885641562585,0.6555191618609073,0.8645726198326908,0.8766126488894872,0.5487883164821056,0.7472315840154069,0.9398972877547744,0.5056369330685161,0.8440654881798011,2.06467456712828,196.0,3,no_social,0.0001806197265329,bioepi_safe_lstm_common_scale__no_social,0.0001806197265329,-0.0004731779232118,0.0010504035772857,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_social,3,0.313959649282791,0.5100212426262312,0.8419150869024542,0.76006307008872,0.8679057567101252,0.5151661049590756,0.7074305889905311,0.9122131279088428,0.6306936161009734,1.0736626119757549,2.9311807178184077,196.0,3,no_social,0.0,bioepi_safe_lstm_common_scale__no_social,-0.0,-0.0,-0.0,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_social,4,0.3670981320947009,0.5949379274003495,0.9695644478026284,0.6609108768455759,0.8234096076698073,0.5326592842240411,0.6921039961482909,0.9374899695073022,0.7042441145610345,1.2112857966488766,3.655411548567544,196.0,3,no_social,-0.0003016329321118,bioepi_safe_lstm_common_scale__no_social,-0.0003016329321117,-0.0009367008777331,-0.0,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_source_specific_ridge,1,0.1563020881104778,0.2519378755140312,0.4617788831132781,0.9324722695416816,0.9205424621574276,0.6035146846413096,0.8284384528968062,0.9494463168030814,0.3269645431105109,0.6440159314283308,1.437114870558947,196.0,3,no_source_specific_ridge,0.0042387172879281,bioepi_safe_lstm_common_scale__no_source_specific_ridge,0.004238717287928,-2.4165302152910746e-19,0.0126936424821294,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_source_specific_ridge,2,0.2361778340427459,0.3893871439119924,0.6569423582840132,0.8647148229718516,0.8773442848274445,0.5438131921039961,0.7422564596372974,0.9398972877547744,0.5016664749366649,0.8415834122104203,2.0604693047836418,196.0,3,no_source_specific_ridge,0.0016649255362796,bioepi_safe_lstm_common_scale__no_source_specific_ridge,0.0016649255362797,-0.0009009583995938,0.0057708343378167,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_source_specific_ridge,3,0.3151729474837146,0.5125544248308547,0.843994439011186,0.7596582075947312,0.8654714044074673,0.5151661049590756,0.7024554646124218,0.9122131279088428,0.6214848752850014,1.0689951076819442,2.88425199343773,196.0,3,no_source_specific_ridge,0.0012132982009236,bioepi_safe_lstm_common_scale__no_source_specific_ridge,0.0012132982009237,-0.0022727715725871,0.0053805500233554,False
temporal_external_2025_2026,0,bioepi_safe_lstm_common_scale__no_source_specific_ridge,4,0.3656225509331798,0.5870743451572095,0.9646487602400898,0.6647860680261573,0.8507701950013179,0.4932595089070775,0.6771786230139624,0.9374899695073022,0.6809128880368372,1.2044941885384244,3.629560504039648,196.0,3,no_source_specific_ridge,-0.0017772140936329,bioepi_safe_lstm_common_scale__no_source_specific_ridge,-0.0017772140936329,-0.0076430278294806,0.0031909985452745,False
temporal_external_2025_2026,0,bioepi_safe_lstm_static_blend,1,0.1569996719400632,0.2561018794589484,0.4468278383907794,0.937091638170893,0.9213900132007872,0.5471834376504574,0.8218584496870486,0.9593965655593004,0.3169292268496331,0.6370904644596463,1.6451023724325922,196.0,3,static_equal_digital_blend,0.0049363011175134,bioepi_safe_lstm_static_blend,0.0049363011175134,-0.001537090925939,0.0141131818072288,False
temporal_external_2025_2026,0,bioepi_safe_lstm_static_blend,2,0.2402674942461956,0.408268406016937,0.6496348131868016,0.8640532807242868,0.8569151724753216,0.5268817204301075,0.7514042689776922,0.9585941261434762,0.5117393610827011,0.8954093334628167,2.386180638113618,196.0,3,static_equal_digital_blend,0.0057545857397293,bioepi_safe_lstm_static_blend,0.0057545857397292,-0.0035618494118884,0.0190045970395124,False
temporal_external_2025_2026,0,bioepi_safe_lstm_static_blend,3,0.3272301413556192,0.5558769339845879,0.8422830112295555,0.7530823582121235,0.8452688047377507,0.4626063232225967,0.6767774033060503,0.9321136254212808,0.6471374389242143,1.0911065558351758,3.156810425718732,196.0,3,static_equal_digital_blend,0.0132704920728281,bioepi_safe_lstm_static_blend,0.0132704920728282,-0.0032679991873543,0.0327094453798655,False
temporal_external_2025_2026,0,bioepi_safe_lstm_static_blend,4,0.3791611968879427,0.6341697480926493,0.9460238017924368,0.6642170308485572,0.8187000881629789,0.4870807254052319,0.6572781255015246,0.9370887497993902,0.791178947277977,1.2738253181062595,3.804050115039804,196.0,3,static_equal_digital_blend,0.0117614318611299,bioepi_safe_lstm_static_blend,0.01176143186113,-0.0120441961074383,0.0349035995741524,False
