official_delay_weeks,model,horizon,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95,n_total,n_countries,n_test_seasons,persistence_WIS,relative_WIS_vs_persistence,WIS_reduction_vs_persistence_pct,surveillance_WIS,relative_WIS_vs_surveillance,WIS_reduction_vs_surveillance_pct
0,bioepi_safe_lstm_common_scale,1,0.16512527139704636,0.2676391809751175,0.4408344940238424,0.911549020833391,0.8840138624451023,0.5191922566399918,0.8138587789001552,0.9448945025164538,0.2999021302325003,0.6334630068106539,1.4139188730813403,1104.0,3,8,0.1926208034379923,0.8572556465854573,14.274435341454272,0.16586698822958257,0.9955282431998489,0.44717568001511054
0,bioepi_safe_lstm_common_scale,2,0.25868235123821737,0.4092424454958188,0.6576770217640469,0.8164450203923089,0.792405477633061,0.48295485225609447,0.7546702055708266,0.9276867288163873,0.48815181191966334,0.9239306722978093,2.4130033292360724,1104.0,3,8,0.31302449314212677,0.8263965181816118,17.360348181838823,0.26632561790839654,0.9713010459519216,2.869895404807843
0,bioepi_safe_lstm_common_scale,3,0.33921163595100934,0.514441298639638,0.8224643964286896,0.7172418004856426,0.754408187664374,0.5219121056010771,0.7545670039671917,0.8947409570183296,0.6113532224949177,1.1788069130440009,3.073477680229089,1104.0,3,8,0.4052908609469197,0.8369585121127006,16.304148788729943,0.347904736605743,0.9750129856248984,2.4987014375101646
0,bioepi_safe_lstm_common_scale,4,0.4059149599521436,0.6105986602598299,0.9625598300111179,0.6157003959896034,0.65802455380694,0.5131862581862582,0.7833500824572254,0.8922824596038882,0.7237078798040059,1.5948262479262416,3.310048648329705,1104.0,3,8,0.4863732322864782,0.8345750403325157,16.542495966748426,0.41178960647380686,0.9857338640186468,1.4266135981353179
0,bioepi_sgq_lstm_full_raw,1,0.17205935324260388,0.2731191143700286,0.4515390197559852,0.8909997839828098,0.8632104177049388,0.5038973748860508,0.7639808596842569,0.9244048020311086,0.29828692673315965,0.5940487213640067,1.2770087431727732,1104.0,3,8,0.1926208034379923,0.8932542600363129,10.674573996368707,0.16586698822958257,1.0373333179743411,-3.733331797434114
0,bioepi_sgq_lstm_full_raw,2,0.280761914860388,0.43972163621432697,0.6931041385509865,0.7990390585816606,0.7778962592153902,0.4437354881143701,0.7404378027941693,0.9046712065539705,0.42194055626031,0.9091589115954063,2.2199478313327687,1104.0,3,8,0.31302449314212677,0.8969327353336208,10.306726466637917,0.26632561790839654,1.0542054386858002,-5.420543868580019
0,bioepi_sgq_lstm_full_raw,3,0.35567551378220913,0.5453318237861213,0.8656650956048534,0.6848947957903149,0.6986582855350859,0.44596155403410204,0.7098737647710275,0.9011024499598816,0.552842273936549,1.0870519780890293,2.949606082122782,1104.0,3,8,0.4052908609469197,0.8775808883309397,12.241911166906029,0.347904736605743,1.0223359338314275,-2.2335933831427512
0,bioepi_sgq_lstm_full_raw,4,0.4326972821241503,0.6601494545602703,1.0254067634391304,0.5753192105569592,0.6233906543929126,0.41892795696367124,0.7353310578310578,0.902363985221128,0.6381065250122017,1.4233314157078396,3.2717472266010934,1104.0,3,8,0.4863732322864782,0.8896404106986047,11.035958930139532,0.41178960647380686,1.0507727133508247,-5.077271335082467
0,bioepi_sgq_lstm_no_digital,1,0.16586698822958257,0.264711059904224,0.4460202576781252,0.909892972666302,0.8869504805994516,0.5119921619224755,0.8086142622379556,0.9357614346551628,0.2979836006460078,0.6347346126553307,1.3074175648956143,1104.0,3,8,0.1926208034379923,0.8611063045585198,13.889369544148023,0.16586698822958257,1.0,0.0
0,bioepi_sgq_lstm_no_digital,2,0.26632561790839654,0.41716877197689856,0.6768213615939139,0.8146317000016968,0.7863789060483173,0.47014599832534615,0.743065590810156,0.9131307589925602,0.4738962368618411,0.8819101218094457,2.32946019251273,1104.0,3,8,0.31302449314212677,0.8508139897777044,14.918601022229561,0.26632561790839654,1.0,0.0
0,bioepi_sgq_lstm_no_digital,3,0.347904736605743,0.5298760100923444,0.8449336211780393,0.7055171263345351,0.7285443945555262,0.47428583712257694,0.7329922119384781,0.8867376789395784,0.5705365849475096,1.1143956508629627,2.914258896293354,1104.0,3,8,0.4052908609469197,0.858407554004302,14.159244599569798,0.347904736605743,1.0,0.0
0,bioepi_sgq_lstm_no_digital,4,0.41178960647380686,0.6225586441614208,0.9813905811717264,0.6105718270332213,0.645170157528863,0.46919572491001066,0.7545010941439513,0.882278059242345,0.6680263530556972,1.4688708998236448,3.0933564120411905,1104.0,3,8,0.4863732322864782,0.8466535144994556,15.334648550054442,0.41178960647380686,1.0,0.0
0,persistence,1,0.1926208034379923,0.2781998567868518,0.4607241578986691,0.913130319343146,0.9053670611201253,0.4989439170972272,0.7669757944823276,0.9559384455072609,0.22531839567714496,0.6659252425720502,2.4814342446497624,1104.0,3,8,0.1926208034379923,1.0,0.0,0.16586698822958257,1.1612968047106442,-16.12968047106442
0,persistence,2,0.31302449314212677,0.45273957787314556,0.7190743203324895,0.8033200407143744,0.822107116485457,0.487051074356975,0.7557103765799419,0.9475220690282802,0.3699774526210111,1.050613012766465,3.5846512498695158,1104.0,3,8,0.31302449314212677,1.0,0.0,0.26632561790839654,1.1753450366528106,-17.534503665281065
0,persistence,3,0.4052908609469197,0.5964800246248487,0.9310771334983406,0.6569673757261059,0.7210633422298005,0.48918080378863277,0.7601782064654014,0.9462698139527187,0.4961564795437033,1.4316250126739314,4.2221890737129915,1104.0,3,8,0.4052908609469197,1.0,0.0,0.347904736605743,1.1649478098546515,-16.49478098546515
0,persistence,4,0.4863732322864782,0.7228916959655439,1.1052945520592805,0.5275510656519123,0.6175498511120605,0.48283210836782264,0.7669227003155575,0.9464350133992991,0.595862718796427,1.8109956465765835,4.642375420755449,1104.0,3,8,0.4863732322864782,1.0,0.0,0.41178960647380686,1.181120709799691,-18.112070979969097
0,ridge_no_digital,1,0.28129616181213746,0.4466998430767564,0.6380818147902846,0.8173478889019389,0.7336581343245072,0.39631865714618325,0.6677749481451571,0.8937819185750371,0.39384020100314937,0.9139671765048073,2.4157320936109885,1104.0,3,8,0.1926208034379923,1.4603623118137974,-46.03623118137974,0.16586698822958257,1.6959140864292124,-69.59140864292124
0,ridge_no_digital,2,0.4237511014959308,0.6768543196282062,0.9417339213472712,0.7173518006229394,0.6556011419851011,0.37981744876931217,0.6848681451398843,0.8615935767993221,0.6032968375088817,1.4128627865583339,3.2113754180094998,1104.0,3,8,0.31302449314212677,1.3537314516264685,-35.37314516264685,0.26632561790839654,1.5911015426299742,-59.11015426299742
0,ridge_no_digital,3,0.5028107625080939,0.8107682729132257,1.1196562181995449,0.6211721171306869,0.576396385709418,0.3989621747961702,0.6847402238452,0.8681091649575327,0.7259366358891298,1.6793182429651674,3.579706020503185,1104.0,3,8,0.4052908609469197,1.2406170751872596,-24.06170751872596,0.347904736605743,1.4452541446076816,-44.52541446076816
0,ridge_no_digital,4,0.5838489664904141,0.9350804715403438,1.288187325719323,0.5596059258094548,0.5430271888183646,0.4069726701869559,0.6613688890474605,0.8758028083028083,0.8006393909409427,1.7894227639480047,3.7201334898600855,1104.0,3,8,0.4863732322864782,1.200413443284481,-20.04134432844811,0.41178960647380686,1.4178331781852576,-41.78331781852576
0,ridge_raw_cn_search,1,0.2945712016931915,0.4363779320950217,0.618813602908049,0.8193842237979557,0.7322759144420461,0.4507144210802747,0.7193369865713071,0.8977509356690542,0.7455479543383268,1.3535453005025335,2.783640061999779,1104.0,3,8,0.1926208034379923,1.5292803084378095,-52.928030843780945,0.16586698822958257,1.7759483356957366,-77.59483356957367
0,ridge_raw_cn_search,2,0.3968375401909912,0.600551222105762,0.8533344636174528,0.7508667455234662,0.6939330788382757,0.4467227587802122,0.7261743044739939,0.8609778700423111,0.7849510025650034,1.619405314518988,3.3059113595169145,1104.0,3,8,0.31302449314212677,1.26775236086976,-26.775236086976008,0.26632561790839654,1.4900464450531552,-49.00464450531552
0,ridge_raw_cn_search,3,0.4528596896657003,0.7010173357040802,1.0158849947626165,0.6486810001023585,0.6182595030435727,0.5030314416312177,0.7436270153482706,0.8777072689576301,1.0234525156487504,1.882730920601868,3.863712601355069,1104.0,3,8,0.4052908609469197,1.117369606133336,-11.736960613333602,0.347904736605743,1.3016772754631842,-30.167727546318424
0,ridge_raw_cn_search,4,0.49171442410290117,0.7719643399584183,1.126561848312048,0.5751837248453164,0.5655911316060638,0.4840912856984286,0.7299608526394241,0.8737704359132931,0.9818824039366323,1.91021793747204,3.7962071806798154,1104.0,3,8,0.4863732322864782,1.0109816730483163,-1.098167304831632,0.41178960647380686,1.1940913912653066,-19.40913912653066
1,bioepi_safe_lstm_common_scale,1,0.2464535181549372,0.4147853967784186,0.6721030804534687,0.8822399874921709,0.8144902300762901,0.6008368325441497,0.803664492688883,0.9232332707942463,0.569873241655555,1.003085333953656,2.0309386110475414,196.0,3,2,0.3395067610706921,0.725916377564041,27.408362243595896,0.2594471584473999,0.949917970309561,5.008202969043896
1,bioepi_safe_lstm_common_scale,2,0.31740900265402683,0.541342755304035,0.8531631779336118,0.803932786949613,0.6717889792857462,0.4938888888888889,0.771904761904762,0.9415873015873015,0.7355267860420089,1.268843982947214,2.6861638231866642,196.0,3,2,0.43850538452765725,0.7238428850672581,27.615711493274187,0.3307708769022402,0.9596038370325979,4.039616296740212
1,bioepi_safe_lstm_common_scale,3,0.36617021073085504,0.6294787340189781,0.980187329841379,0.7706655819663107,0.6852553236204705,0.5455086359309126,0.7407945736434108,0.9357235142118863,0.8048750101140484,1.4302837042992316,3.344068252239879,196.0,3,2,0.5169018695688172,0.7083940536649681,29.16059463350319,0.3872508566499855,0.9455633330252796,5.443666697472038
1,bioepi_safe_lstm_common_scale,4,0.41186769268065576,0.7120737585502738,1.0780801632742734,0.6913764151363214,0.5600765173377972,0.5179512516469038,0.7315546772068511,0.9548748353096178,1.0117513227523152,1.5170593387421458,4.287068679162546,196.0,3,2,0.5825126280940675,0.7070536720006437,29.294632799935627,0.432052589141171,0.95328138988673,4.671861011327005
1,bioepi_sgq_lstm_full_raw,1,0.2592462097400068,0.4161302617543063,0.6680334657693486,0.8637503755401897,0.7927326953864351,0.4093406593406594,0.6877289377289376,0.8843026891807378,0.4238239069950734,0.8669061771307845,1.5449700344243515,196.0,3,2,0.3395067610706921,0.7635966038568125,23.64033961431875,0.2594471584473999,0.9992254734698361,0.07745265301638549
1,bioepi_sgq_lstm_full_raw,2,0.32880896235091167,0.540888306248366,0.8608637355414247,0.7701271201399384,0.6826132230474684,0.41944444444444445,0.7147619047619047,0.8979365079365079,0.5347341752916391,1.1883634041881723,2.0058671772626666,196.0,3,2,0.43850538452765725,0.7498401934222387,25.015980657776126,0.3307708769022402,0.9940686599446045,0.5931340055395529
1,bioepi_sgq_lstm_full_raw,3,0.37086780682179005,0.5903963627699504,0.954186923133189,0.7202354169346985,0.6205859388125784,0.41819665442676457,0.7126427988576092,0.9140826873385013,0.6561169252275102,1.232370203435176,2.935722995912504,196.0,3,2,0.5169018695688172,0.7174820379952503,28.251796200474967,0.3872508566499855,0.9576939610413744,4.230603895862561
1,bioepi_sgq_lstm_full_raw,4,0.42915476290848703,0.6739560855446722,1.0665782111573432,0.6404892442981248,0.5951287191969307,0.46080368906455865,0.7053689064558629,0.962121212121212,0.7405126504625376,1.3957485687803706,4.468504238957847,196.0,3,2,0.5825126280940675,0.7367304024165888,26.32695975834112,0.432052589141171,0.9932928853905395,0.6707114609460496
1,bioepi_sgq_lstm_no_digital,1,0.2594471584473999,0.43557379229768944,0.6915890790118363,0.8717110563091371,0.7641122057487774,0.6226882873224336,0.8124199648589893,0.8907129455909945,0.6581061927172902,1.0740452253062898,1.6363684311453646,196.0,3,2,0.3395067610706921,0.7641884881149033,23.581151188509676,0.2594471584473999,1.0,0.0
1,bioepi_sgq_lstm_no_digital,2,0.3307708769022402,0.5621206145962931,0.877127499834034,0.790193379697981,0.6100347388444829,0.5352380952380953,0.7931746031746032,0.9177777777777778,0.8324229645857629,1.3153879732243334,2.39374215802307,196.0,3,2,0.43850538452765725,0.7543142879728492,24.568571202715084,0.3307708769022402,1.0,0.0
1,bioepi_sgq_lstm_no_digital,3,0.3872508566499855,0.6844449215951481,1.030644989724398,0.746263015372978,0.5937479077377398,0.5781228750169999,0.7655038759689923,0.9434754521963824,0.891074889628776,1.4961594021545679,3.2680335978308555,196.0,3,2,0.5169018695688172,0.7491767382714587,25.08232617285413,0.3872508566499855,1.0,0.0
1,bioepi_sgq_lstm_no_digital,4,0.432052589141171,0.76039921962122,1.1288192907133234,0.6730368326424383,0.5475926532870768,0.5385741472697995,0.7384716732542819,0.9624505928853755,1.0833015431567636,1.543451241666034,4.37009660500738,196.0,3,2,0.5825126280940675,0.7417051035525374,25.82948964474626,0.432052589141171,1.0,0.0
1,persistence,1,0.3395067610706921,0.5094625313626815,0.8064739972329135,0.7934544867638097,0.794624714397694,0.37545787545787546,0.6714687751273117,0.9475416182733255,0.2735753530583195,0.938539385056537,4.055951306949182,196.0,3,2,0.3395067610706921,1.0,0.0,0.2594471584473999,1.3085776814916377,-30.857768149163768
1,persistence,2,0.43850538452765725,0.6570294979983972,1.0462032629188764,0.659659474308092,0.681954991708694,0.41460317460317464,0.6632539682539683,0.9603174603174603,0.37501391887888375,1.105079141998074,4.884713038495662,196.0,3,2,0.43850538452765725,1.0,0.0,0.3307708769022402,1.325707355600288,-32.57073556002881
1,persistence,3,0.5169018695688172,0.7856225050556581,1.2101539597771371,0.5670835077178498,0.6437178452564286,0.3820124439004488,0.6589742282061744,0.9651162790697674,0.4222275371588619,1.3331147532202758,5.190847268577246,196.0,3,2,0.5169018695688172,1.0,0.0,0.3872508566499855,1.3347985180469621,-33.47985180469622
1,persistence,4,0.5825126280940675,0.8831269590003409,1.3518675513193246,0.45584883897610046,0.5888933599533699,0.3849363197189284,0.6499597423510467,0.9510869565217391,0.5281947834283648,1.4724277588628982,5.513196339054186,196.0,3,2,0.5825126280940675,1.0,0.0,0.432052589141171,1.3482447339384753,-34.82447339384753
1,ridge_no_digital,1,0.31570848465334317,0.5232359654223071,0.7721865469546096,0.8294643738910644,0.7212187683566408,0.4626180053009321,0.7509678668215254,0.9147830489293903,0.6543494022067948,1.1647759377960119,3.748173597432862,196.0,3,2,0.3395067610706921,0.9299033800025159,7.009661999748406,0.2594471584473999,1.2168508090149295,-21.68508090149295
1,ridge_no_digital,2,0.39049588552297115,0.6617316266946699,0.9486969212587062,0.7169825305811653,0.6107377442348483,0.5040476190476191,0.7062698412698413,0.9040476190476191,0.9169326465955345,1.4413043324781267,4.347445666326405,196.0,3,2,0.43850538452765725,0.8905155998109344,10.948440018906558,0.3307708769022402,1.1805630809461582,-18.056308094615826
1,ridge_no_digital,3,0.4349629075834995,0.7645860495330505,1.0252896815909327,0.6662548315174305,0.5706961348466267,0.4883890928872569,0.6834795321637427,0.8988083095335236,1.1146471183430182,1.6256236499429395,4.386673434801676,196.0,3,2,0.5169018695688172,0.841480623674918,15.851937632508195,0.3872508566499855,1.1232070894465143,-12.320708944651425
1,ridge_no_digital,4,0.4466757386601654,0.811857495431858,1.05924746357643,0.6202210435708192,0.5613869554314296,0.5209888742497438,0.667307129263651,0.9267676767676768,1.2649045878048313,1.7696982401654653,4.401562771655182,196.0,3,2,0.5825126280940675,0.7668086786747457,23.319132132525432,0.432052589141171,1.0338457629615463,-3.384576296154629
1,ridge_raw_cn_search,1,0.28818054365657964,0.45437924362369947,0.7198039766317009,0.8582126699696535,0.7196305241683838,0.4715223800589654,0.7513550135501355,0.9670478572917597,0.521799845305605,0.9891577370445463,4.235279768044626,196.0,3,2,0.3395067610706921,0.8488212215502084,15.117877844979155,0.2594471584473999,1.1107485060970714,-11.074850609707143
1,ridge_raw_cn_search,2,0.35162318469158566,0.5705254968564856,0.8697231610007957,0.7698772750711794,0.6325562435793873,0.5270634920634921,0.7221428571428571,0.9524603174603175,0.7802406147221168,1.2149777613408221,4.157346575983526,196.0,3,2,0.43850538452765725,0.8018674276265545,19.81325723734455,0.3307708769022402,1.0630415470208048,-6.304154702080478
1,ridge_raw_cn_search,3,0.3955664538238388,0.674182219768409,0.9390421380896469,0.7255550222548365,0.5827358231669594,0.5212328301373589,0.7116313069495445,0.9230841153270773,0.9874418444604215,1.4405073626767055,4.093172946040869,196.0,3,2,0.5169018695688172,0.7652641189976881,23.47358810023119,0.3872508566499855,1.0214734119526283,-2.1473411952628307
1,ridge_raw_cn_search,4,0.41309435644050047,0.7249610078536243,0.9803933882047421,0.6584810204831026,0.578316853813531,0.5643390425999121,0.699293661250183,0.9642255892255892,1.1912070573117275,1.679359431182581,4.22294631662034,196.0,3,2,0.5825126280940675,0.7091594868803285,29.08405131196715,0.432052589141171,0.956120543708914,4.387945629108603
2,bioepi_safe_lstm_common_scale,1,0.31372608837770677,0.5341418337843131,0.8486936241568218,0.7615577347361477,0.7152363092212023,0.5547887072277317,0.7597680097680097,0.935428392745466,0.7604749656180969,1.3030443205173414,2.54302081532321,196.0,3,2,0.46643383945933486,0.6726057627837664,32.73942372162336,0.3373548579068193,0.929958709722689,7.004129027731098
2,bioepi_safe_lstm_common_scale,2,0.37883147143817886,0.6374898977992045,0.9812405005102737,0.7084169804793906,0.6754058207873178,0.5838095238095238,0.7556349206349205,0.9349206349206348,0.9867457775200016,1.5083958129421993,3.206059899731246,196.0,3,2,0.5529100816373689,0.6851592763805652,31.484072361943483,0.3986670749784804,0.9502451925798682,4.975480742013183
2,bioepi_safe_lstm_common_scale,3,0.4122956754600116,0.7331088283174511,1.0864754135463826,0.6718368414527364,0.6441849869128803,0.5438936488508092,0.7677648578811369,0.9465439276485789,0.995943638730331,1.6704781855482844,3.6730371493983878,196.0,3,2,0.6060270812377481,0.6803254973654643,31.967450263453568,0.4251044310221787,0.9698691553711449,3.013084462885507
2,bioepi_safe_lstm_common_scale,4,0.44829075954232617,0.7998535445882266,1.155770898081567,0.6104692544007656,0.5750771692312934,0.5636802810715854,0.7277667984189723,0.9586627140974967,1.1993582743165265,1.6946109048499816,4.497036556800913,196.0,3,2,0.6553341416918822,0.6840644047401068,31.593559525989324,0.4607438277921621,0.9729718175292553,2.7028182470744677
2,bioepi_sgq_lstm_full_raw,1,0.3415554678031319,0.5830915800337513,0.8865986309610512,0.7425145659962219,0.6839854812048021,0.45628964531403554,0.7467539235831918,0.870581315703267,0.7263447348530326,1.1920439632876674,2.038137197080013,196.0,3,2,0.46643383945933486,0.7322699146336482,26.773008536635178,0.3373548579068193,1.0124516063659972,-1.245160636599718
2,bioepi_sgq_lstm_full_raw,2,0.39981221583731674,0.6831034806095144,1.0225693897615897,0.679003040580819,0.6388407052478713,0.48833333333333334,0.7662698412698412,0.8511904761904762,0.8259419046592501,1.456381941002191,2.267678771260614,196.0,3,2,0.5529100816373689,0.7231053097337755,27.689469026622447,0.3986670749784804,1.0028724239615177,-0.2872423961517656
2,bioepi_sgq_lstm_full_raw,3,0.42491067764734963,0.7345851613898687,1.1001827274624143,0.6361723349626006,0.585133622422605,0.49732252141982863,0.7526944784441724,0.9338960288317693,1.100506725477195,1.5352648008095606,3.3470518434779404,196.0,3,2,0.6060270812377481,0.7011414024262962,29.88585975737038,0.4251044310221787,0.9995442217001521,0.045577829984788654
2,bioepi_sgq_lstm_full_raw,4,0.4676582590358254,0.7866079666756031,1.1687510373549492,0.5765629290982189,0.5665695571774103,0.48742863416776455,0.7399172888303323,0.9528619528619529,1.1154807728605494,1.6754187616235212,4.606814792235473,196.0,3,2,0.6553341416918822,0.7136180297709925,28.638197022900748,0.4607438277921621,1.0150071055249867,-1.5007105524986741
2,bioepi_sgq_lstm_no_digital,1,0.3373548579068193,0.5680625675937337,0.8844640609319229,0.7428920578376385,0.6660484671249383,0.5785535602608773,0.7719631317192293,0.8947779862414009,0.8205493534657101,1.3603633915146354,2.1276618919937333,196.0,3,2,0.46643383945933486,0.7232641145802435,27.673588541975647,0.3373548579068193,1.0,0.0
2,bioepi_sgq_lstm_no_digital,2,0.3986670749784804,0.6620866978752268,1.013134981047744,0.6826374817721184,0.6217667491159921,0.6292857142857143,0.7754761904761905,0.9031746031746032,1.083811302416439,1.591961439181983,2.854476862644884,196.0,3,2,0.5529100816373689,0.7210341938383208,27.89658061616792,0.3986670749784804,1.0,0.0
2,bioepi_sgq_lstm_no_digital,3,0.4251044310221787,0.7646276550430544,1.12517911338033,0.6508190168897765,0.6074778628824238,0.530812253501972,0.775516795865633,0.954295865633075,1.0214519660938333,1.748817497160686,3.5361119607749463,196.0,3,2,0.6060270812377481,0.7014611131798707,29.85388868201293,0.4251044310221787,1.0,0.0
2,bioepi_sgq_lstm_no_digital,4,0.4607438277921621,0.8196702594343681,1.1910812058739495,0.5956193083524878,0.5484650605495642,0.5457290294246816,0.7429183135704874,0.9662384716732543,1.2198516412255092,1.7061477786925572,4.585696712170231,196.0,3,2,0.6553341416918822,0.7030670286804461,29.693297131955386,0.4607438277921621,1.0,0.0
2,persistence,1,0.46643383945933486,0.6957364701075969,1.1081773871158647,0.5882310449434766,0.6957734779423843,0.40434497751570925,0.6472721045891777,0.9434765776229191,0.37393851089227415,1.1159071986628961,4.906750166057715,196.0,3,2,0.46643383945933486,1.0,0.0,0.3373548579068193,1.3826207879542924,-38.26207879542925
2,persistence,2,0.5529100816373689,0.8368775919878542,1.2931245255175494,0.45348604829284317,0.6389439009622607,0.37142857142857144,0.6296825396825397,0.9476190476190477,0.42215406005181877,1.3379178093158302,5.214533204335903,196.0,3,2,0.5529100816373689,1.0,0.0,0.3986670749784804,1.3868967776363632,-38.68967776363632
2,persistence,3,0.6060270812377481,0.9168469328508357,1.4132701444191325,0.3653080555562664,0.5786498703140607,0.37382700938392494,0.6267339861281109,0.9416479668162655,0.5280391403474166,1.4767844045752065,5.536120299851298,196.0,3,2,0.6060270812377481,1.0,0.0,0.4251044310221787,1.425595776032102,-42.55957760321021
2,persistence,4,0.6553341416918822,1.005235463122494,1.5200655895354351,0.27359690822195226,0.4945613305980409,0.32564778216952134,0.6537476211389255,0.9345813204508856,0.580185112899248,1.6717609303168748,5.7114448353100045,196.0,3,2,0.6553341416918822,1.0,0.0,0.4607438277921621,1.4223394914093093,-42.233949140930925
2,ridge_no_digital,1,0.40023759258259023,0.6563856032490585,0.9570886819648977,0.7001689062399089,0.653544601165362,0.4649632210607821,0.6936254802108461,0.8907799517555616,0.7948368780122282,1.2916837780368022,4.241407780276925,196.0,3,2,0.46643383945933486,0.8580800935166373,14.191990648336272,0.3373548579068193,1.186399375025866,-18.63993750258659
2,ridge_no_digital,2,0.4465767523609337,0.7582421100310516,1.0425489435352995,0.6209390931600699,0.5844112625138606,0.47341269841269845,0.6683333333333333,0.8754761904761904,0.9986717437152377,1.5344393305027895,4.353867682782665,196.0,3,2,0.5529100816373689,0.8076842278557422,19.231577214425776,0.3986670749784804,1.120174652960843,-12.017465296084296
2,ridge_no_digital,3,0.44684840918274477,0.7860706306747934,1.0524882942076823,0.6118545740009922,0.5658652723471914,0.5167618659050728,0.6822385420916633,0.9057527539779682,1.1626483818017945,1.6991466334251968,4.427964301136197,196.0,3,2,0.6060270812377481,0.7373406618564021,26.265933814359787,0.4251044310221787,1.0511497330392015,-5.114973303920145
2,ridge_no_digital,4,0.44783270326742475,0.8194893825505646,1.0642781929564726,0.6026715298618791,0.569595842180704,0.5044832381788904,0.7099985360854926,0.9212048016395843,1.2672094803972953,1.868892515364446,4.344335931650673,196.0,3,2,0.6553341416918822,0.6833654387535051,31.663456124649493,0.4607438277921621,0.9719776506033598,2.8022349396640167
2,ridge_raw_cn_search,1,0.3461532652213821,0.5391615873932174,0.8610522719578326,0.7763345334632069,0.6892074444106857,0.4578010065814944,0.7019491348759641,0.9711128979421663,0.5575066801561974,1.024991867917925,4.888564405697655,196.0,3,2,0.46643383945933486,0.7421272556524297,25.787274434757034,0.3373548579068193,1.026080570972519,-2.6080570972518924
2,ridge_raw_cn_search,2,0.391296687676333,0.6369728337297434,0.9303595085966959,0.7094137068819446,0.6182483533560735,0.5126984126984128,0.7048412698412698,0.9445238095238095,0.7955737783577691,1.266888149945007,4.169026215558897,196.0,3,2,0.5529100816373689,0.7077040203672186,29.22959796327814,0.3986670749784804,0.9815124253675946,1.8487574632405357
2,ridge_raw_cn_search,3,0.4006481461857901,0.6800236008835809,0.9479914893692166,0.691199746583028,0.5857061016911047,0.5389976880184958,0.6938664490684076,0.9465524275805793,0.9472899773147646,1.4836017144773244,4.096588072305578,196.0,3,2,0.6060270812377481,0.6611060109186992,33.889398908130076,0.4251044310221787,0.9424699366751303,5.753006332486965
2,ridge_raw_cn_search,4,0.41323677270288844,0.7257284215281724,0.983177501437121,0.6507177729623019,0.5758340706852415,0.5347862684819207,0.7289379300248866,0.9270970575318401,1.1523901342477554,1.7242781860400787,4.170063203789048,196.0,3,2,0.6553341416918822,0.6305741550959504,36.94258449040496,0.4607438277921621,0.8968905230550289,10.310947694497107
